Week,Day,Date,Type,Link text,URL
1,1,23-Jan,Video,Course intro,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=82661007-f96c-473e-8377-af8e015e24f0
1,1,23-Jan,Video,"Linux, ugrad accounts",https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=1273cccc-b312-47d4-802a-ae2200fefc22
1,1,23-Jan,Slides,Course intro,slides/day01_intro.pdf
1,1,23-Jan,Slides,"Linux, ugrad accounts",slides/day01_linux_basics.pdf
1,1,23-Jan,Recap,Day 1,questions/day01.html
1,1,23-Jan,Exercise,Exercise 1,exercise/ex01.html
1,1,23-Jan,Resource,Unix/Linux Tutorial,https://cs.jhu.edu/~joanne/unix.html
1,1,23-Jan,Resource,Unix/Linux Reference Card,https://cs.jhu.edu/~joanne/unixRC.pdf
1,1,23-Jan,Resource,Github SSH key setup,resources/github-ssh.html
1,1,23-Jan,LectureSlides,"Day 01 notes (Sec 03)",slides/notes/sp23_day01_sec03.pdf
1,1,23-Jan,LectureSlides,"Day 01 notes (Sec 04)",slides/notes/sp23_day01_sec04.pdf
1,2,25-Jan,Video,Hello world program in C,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=1a42038f-6e6e-43cb-958a-ae230027ad23
1,2,25-Jan,Video,C basics,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=c7fc4118-f301-40bb-8693-ae230027ac09
1,2,25-Jan,Slides,Hello world program in C,slides/day02_hello_world_c.pdf
1,2,25-Jan,Slides,C basics,slides/day02_c_basics.pdf
1,2,25-Jan,Recap,Day 2,questions/day02.html
1,2,25-Jan,Exercise,Exercise 2,exercise/ex02.html
1,2,25-Jan,Resource,Online C compiler,https://www.onlinegdb.com/online_c_compiler
1,2,25-Jan,LectureSlides,"Day 02 notes (Sec 03)",slides/notes/sp23_day02_sec03.pdf
1,2,25-Jan,LectureSlides,"Day 02 notes (Sec 04)",slides/notes/sp23_day02_sec04.pdf
1,3,27-Jan,Video,Editors (emacs),https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=d7af51c6-fffc-4c79-9e8e-ae230027adb4
1,3,27-Jan,Video,Git,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=7f332c5e-6ad8-4ff8-a702-ae23002793cf
